| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      0%      Default |
| 42%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 42%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 42%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 42%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      0%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      1%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      1%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      1%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      1%      Default |
| 41%   41C    P8    12W / 160W |    640MiB /  5931MiB |      1%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      1%      Default |
| 41%   41C    P8    13W / 160W |    640MiB /  5931MiB |      1%      Default |
